Module,Activity,Take Away,Est. Length,Length Sum
第1节：数据收集与可视化,讲授：数据收集方法（调查/NPS/被动数据）,要点1：电商数据来源包括主动调研和被动数据收集，需根据分析目标选择合适方法,25,25
第1节：数据收集与可视化,讲授：描述性统计（均值/中位数/标准差）,要点2：理解集中趋势和离散趋势，避免"平均客单价"的陷阱,25,50
第1节：数据收集与可视化,讲授：数据可视化原则与图表选择,要点3：趋势用折线图、对比用柱状图、占比用饼图，避免误导,20,70
第1节：数据收集与可视化,案例：《点球成金》奥克兰运动家队数据驱动决策,要点4：数据思维比数据和工具更重要，分析是决策问题不是技术问题,30,100
第1节：数据收集与可视化,飞书模板展示：电商数据基础模板 + 指标定义手册,模板1：飞书表格（数据录入/公式/图表）+ 多维表格（指标管理）,20,120
第2节：时间序列与趋势分析,讲授：时间序列分解（趋势/季节性/周期性）,要点1：理解数据的时间特征，识别长期趋势和周期性波动,25,145
第2节：时间序列与趋势分析,讲授：移动平均法（SMA/WMA）,要点2：用移动平均平滑短期波动，识别长期趋势,25,170
第2节：时间序列与趋势分析,讲授：指数平滑法,要点3：近期数据权重更高，适合短期预测,20,190
第2节：时间序列与趋势分析,案例：时代杂志库存困境 + 娇韵诗月度销售趋势,要点4：用历史数据预测未来需求，量化预测误差,30,220
第2节：时间序列与趋势分析,飞书模板展示：时间序列分析模板,模板2：飞书表格（移动平均公式/指数平滑公式/趋势图）,20,240
第3节：回归分析与因果推断,讲授：相关 vs 因果,要点1：相关性不等于因果性，冰淇淋销量与溺水人数是伪相关,25,265
第3节：回归分析与因果推断,讲授：线性回归基础（简单/多元）,要点2：理解回归方程 y=a+bx，解读 R²/斜率/截距,25,290
第3节：回归分析与因果推断,讲授：回归在电商的应用,要点3：用广告投入预测销售额，用流量预测 GMV,20,310
第3节：回归分析与因果推断,案例：美国运通流失预测 + 娇韵诗广告与销售回归,要点4：用回归模型量化变量关系，支持预测和决策,30,340
第3节：回归分析与因果推断,飞书模板展示：回归分析模板,模板3：飞书表格（LINEST 函数/TREND 函数/散点图+回归线）,20,360
第4节：决策工具与优化模型,讲授：决策树基础,要点1理解决策节点/机会节点/结果节点，计算期望值,25,385
第4节：决策工具与优化模型,讲授：优化模型基础,要点2：目标函数 vs 约束条件，线性规划基本思路,25,410
第4节：决策工具与优化模型,讲授：场景对比分析,要点3：多场景对比（最优/最可能/最差），敏感性分析,20,430
第4节：决策工具与优化模型,案例：零售连锁店库存管理 + 娇韵诗促销方案优化,要点4：用决策树和优化模型支持业务决策,30,460
第4节：决策工具与优化模型,飞书模板展示：场景对比分析模板 + 决策树模板,模板4：飞书表格（多场景计算/条件格式/决策树）,20,480
第5节：电商指标体系与转化漏斗,讲授：电商核心指标（流量/转化/交易）,要点1：掌握 UV/PV/CTR/加购率/转化率/客单价/GMV/ROI,25,505
第5节：电商指标体系与转化漏斗,讲授：转化漏斗分析,要点2：漏斗模型 UV→详情页→加购→下单→支付，诊断流失环节,25,530
第5节：电商指标体系与转化漏斗,讲授：渠道对比分析,要点3：天猫 vs 抖音 vs 京东，理解渠道差异,20,550
第5节：电商指标体系与转化漏斗,案例：星巴克精准发券 + 娇韵诗 618 转化漏斗诊断,要点4：用数据优化营销，诊断转化瓶颈,30,580
第5节：电商指标体系与转化漏斗,飞书模板展示：电商指标手册 + 转化漏斗仪表盘,模板5：飞书多维表格（指标管理/漏斗监控/渠道对比）,20,600
第6节：A/B测试与实验设计,讲授：A/B测试基础,要点1：实验组 vs 对照组，随机分配的重要性,25,625
第6节：A/B测试与实验设计,讲授：统计显著性,要点2p 值/置信区间/样本量计算，判断结果是否显著,25,650
第6节：A/B测试与实验设计,讲授：A/B测试在电商的应用,要点3：页面设计/促销方案/价格测试，量化效果,20,670
第6节：A/B测试与实验设计,案例：Netflix 内容推荐 + 娇韵诗页面设计测试,要点4：用 A/B 测试驱动决策，避免拍脑袋,30,700
第6节：A/B测试与实验设计,飞书模板展示：A/B测试结果分析模板,模板6：飞书表格（p 值计算/显著性判断/结果报告）,20,720
第7节：优化模型与最佳决策,讲授：单目标优化,要点1：目标函数（最大化 GMV/最小化成本）vs 约束条件,25,745
第7节：优化模型与最佳决策,讲授：多目标决策,要点2：Pareto 最优，权重分配，平衡多个目标,25,770
第7节：优化模型与最佳决策,讲授：敏感性分析,要点3：关键变量的影响，场景对比（最优/最可能/最差）,20,790
第7节：优化模型与最佳决策,案例：亚马逊预测式发货 + 娇韵诗货品优化,要点4：用优化模型指导决策，量化不确定性,30,820
第7节：优化模型与最佳决策,飞书模板展示：多目标决策矩阵 + 敏感性分析模板,模板7：飞书表格（决策矩阵/敏感性分析/场景对比）,20,840
第8节：电商实战案例与汇报,讲授：数据分析流程,要点1：问题定义→数据收集→分析建模→结果解读→行动建议,25,865
第8节：电商实战案例与汇报,讲授：数据讲故事,要点2：金字塔原理（结论先行），图表配解读，行动项明确,25,890
第8节：电商实战案例与汇报,案例：娇韵诗 Q3 季度生意复盘,要点3：综合运用前 7 节课知识，完成完整复盘,50,940
第8节：电商实战案例与汇报,飞书模板展示：季度复盘报告 + 复盘仪表盘,模板8：飞书文档（报告模板）+ 多维表格（仪表盘模板）,20,960
